Rk,School
1,Abilene Christian
2,Air Force
3,Akron
4,Alabama A&amp;M
5,Alabama-Birmingham
6,Alabama State
7,Alabama
8,Albany (NY)
9,Alcorn State
10,American
11,Appalachian State
12,Arizona State
13,Arizona
14,Arkansas-Little Rock
15,Arkansas-Pine Bluff
16,Arkansas State
17,Arkansas
18,Army
19,Auburn
20,Austin Peay
,
Rk,School
21,Ball State
22,Baylor
23,Belmont
24,Bethune-Cookman
25,Binghamton
26,Boise State
27,Boston College
28,Boston University
29,Bowling Green State
30,Bradley
31,Brigham Young
32,Brown
33,Bryant
34,Bucknell
35,Buffalo
36,Butler
37,Cal Poly
38,Cal State Bakersfield
39,Cal State Fullerton
40,Cal State Northridge
,
Rk,School
41,UC-Davis
42,UC-Irvine
43,UC-Riverside
44,UC-Santa Barbara
45,University of California
46,Campbell
47,Canisius
48,Central Arkansas
49,Central Connecticut State
50,Central Florida
51,Central Michigan
52,Charleston Southern
53,Charlotte
54,Chattanooga
55,Chicago State
56,Cincinnati
57,Citadel
58,Clemson
59,Cleveland State
60,Coastal Carolina
,
Rk,School
61,Colgate
62,College of Charleston
63,Colorado State
64,Colorado
65,Columbia
66,Connecticut
67,Coppin State
68,Cornell
69,Creighton
70,Dartmouth
71,Davidson
72,Dayton
73,Delaware State
74,Delaware
75,Denver
76,DePaul
77,Detroit Mercy
78,Drake
79,Drexel
80,Duke
,
Rk,School
81,Duquesne
82,East Carolina
83,East Tennessee State
84,Eastern Illinois
85,Eastern Kentucky
86,Eastern Michigan
87,Eastern Washington
88,Elon
89,Evansville
90,Fairfield
91,Fairleigh Dickinson
92,Florida A&amp;M
93,Florida Atlantic
94,Florida Gulf Coast
95,Florida International
96,Florida State
97,Florida
98,Fordham
99,Fresno State
100,Furman
,
Rk,School
101,Gardner-Webb
102,George Mason
103,George Washington
104,Georgetown
105,Georgia Southern
106,Georgia State
107,Georgia Tech
108,Georgia
109,Gonzaga
110,Grambling
111,Grand Canyon
112,Green Bay
113,Hampton
114,Hartford
115,Harvard
116,Hawaii
117,High Point
118,Hofstra
119,Holy Cross
120,Houston Baptist
,
Rk,School
121,Houston
122,Howard
123,Idaho State
124,Idaho
125,Illinois-Chicago
126,Illinois State
127,Illinois
128,Incarnate Word
129,Indiana State
130,Indiana
131,Iona
132,Iowa State
133,Iowa
134,IPFW
135,IUPUI
136,Jackson State
137,Jacksonville State
138,Jacksonville
139,James Madison
140,Kansas State
,
Rk,School
141,Kansas
142,Kennesaw State
143,Kent State
144,Kentucky
145,La Salle
146,Lafayette
147,Lamar
148,Lehigh
149,Liberty
150,Lipscomb
151,Long Beach State
152,Long Island University
153,Longwood
154,Louisiana-Lafayette
155,Louisiana-Monroe
156,Louisiana State
157,Louisiana Tech
158,Louisville
159,Loyola (IL)
160,Loyola Marymount
,
Rk,School
161,Loyola (MD)
162,Maine
163,Manhattan
164,Marist
165,Marquette
166,Marshall
167,Maryland-Baltimore County
168,Maryland-Eastern Shore
169,Maryland
170,Massachusetts-Lowell
171,Massachusetts
172,McNeese State
173,Memphis
174,Mercer
175,Miami (FL)
176,Miami (OH)
177,Michigan State
178,Michigan
179,Middle Tennessee
180,Milwaukee
,
Rk,School
181,Minnesota
182,Mississippi State
183,Mississippi Valley State
184,Mississippi
185,Missouri-Kansas City
186,Missouri State
187,Missouri
188,Monmouth
189,Montana State
190,Montana
191,Morehead State
192,Morgan State
193,Mount St. Mary's
194,Murray State
195,Navy
196,Nebraska-Omaha
197,Nebraska
198,Nevada-Las Vegas
199,Nevada
200,New Hampshire
,
Rk,School
201,New Mexico State
202,New Mexico
203,New Orleans
204,Niagara
205,Nicholls State
206,NJIT
207,Norfolk State
208,North Carolina-Asheville
209,North Carolina A&amp;T
210,North Carolina Central
211,North Carolina-Greensboro
212,North Carolina State
213,North Carolina-Wilmington
214,North Carolina
215,North Dakota State
216,North Dakota
217,North Florida
218,North Texas
219,Northeastern
220,Northern Arizona
,
Rk,School
221,Northern Colorado
222,Northern Illinois
223,Northern Iowa
224,Northern Kentucky
225,Northwestern State
226,Northwestern
227,Notre Dame
228,Oakland
229,Ohio State
230,Ohio
231,Oklahoma State
232,Oklahoma
233,Old Dominion
234,Oral Roberts
235,Oregon State
236,Oregon
237,Pacific
238,Penn State
239,Pennsylvania
240,Pepperdine
,
Rk,School
241,Pittsburgh
242,Portland State
243,Portland
244,Prairie View
245,Presbyterian
246,Princeton
247,Providence
248,Purdue
249,Quinnipiac
250,Radford
251,Rhode Island
252,Rice
253,Richmond
254,Rider
255,Robert Morris
256,Rutgers
257,Sacramento State
258,Sacred Heart
259,Saint Francis (PA)
260,Saint Joseph's
,
Rk,School
261,Saint Louis
262,Saint Mary's (CA)
263,Saint Peter's
264,Sam Houston State
265,Samford
266,San Diego State
267,San Diego
268,San Francisco
269,San Jose State
270,Santa Clara
271,Savannah State
272,Seattle
273,Seton Hall
274,Siena
275,South Alabama
276,South Carolina State
277,South Carolina Upstate
278,South Carolina
279,South Dakota State
280,South Dakota
,
Rk,School
281,South Florida
282,Southeast Missouri State
283,Southeastern Louisiana
284,Southern California
285,SIU Edwardsville
286,Southern Illinois
287,Southern Methodist
288,Southern Mississippi
289,Southern Utah
290,Southern
291,St. Bonaventure
292,St. Francis (NY)
293,St. John's (NY)
294,Stanford
295,Stephen F. Austin
296,Stetson
297,Stony Brook
298,Syracuse
299,Temple
300,Tennessee-Martin
,
Rk,School
