Team,Day,EFG,TOV,ORB,FTFGA,O_Team,Won
Akron,11,0.584905660377,0.161637931034,0.733333333333,0.22641509434,UMBC,1
G Washington,31,0.485507246377,0.102645985401,0.846153846154,0.231884057971,UMBC,1
Iowa,33,0.5,0.133171912833,0.666666666667,0.184615384615,UMBC,1
Stony Brook,72,0.481132075472,0.115340253749,0.888888888889,0.245283018868,UMBC,1
Stony Brook,100,0.578431372549,0.235355648536,0.857142857143,0.274509803922,UMBC,1
Hartford,77,0.616279069767,0.243902439024,0.851851851852,0.279069767442,UMBC,1
Hartford,106,0.419642857143,0.138580931264,0.677419354839,0.142857142857,UMBC,1
Loyola MD,16,0.303921568627,0.225,0.870967741935,0.274509803922,UMBC,1
NJIT,60,0.61,0.173812282735,0.612903225806,0.18,UMBC,1
Towson,26,0.621951219512,0.256479481641,0.8,0.634146341463,UMBC,1
Vermont,75,0.630434782609,0.217643644806,0.733333333333,0.282608695652,UMBC,1
Vermont,103,0.555555555556,0.114416475973,0.857142857143,0.259259259259,UMBC,1
Vermont,121,0.545454545455,0.164024056862,0.909090909091,0.109090909091,UMBC,1
Minnesota,19,0.442857142857,0.0950570342205,0.741935483871,0.1,UMBC,1
Albany NY,83,0.540816326531,0.133848899465,0.913043478261,0.326530612245,UMBC,1
Albany NY,114,0.556603773585,0.180155210643,0.892857142857,0.150943396226,UMBC,1
MD E Shore,29,0.551020408163,0.234159779614,0.875,0.224489795918,UMBC,1
MA Lowell,65,0.5,0.123626373626,0.69696969697,0.327272727273,UMBC,1
MA Lowell,94,0.548076923077,0.145772594752,0.703703703704,0.192307692308,UMBC,1
Howard,22,0.531914893617,0.203031943692,0.771428571429,0.382978723404,UMBC,1
New Hampshire,69,0.551020408163,0.111040609137,0.774193548387,0.183673469388,UMBC,1
New Hampshire,96,0.69387755102,0.150421179302,0.888888888889,0.244897959184,UMBC,1
Lehigh,55,0.479166666667,0.202780996524,0.810810810811,0.25,UMBC,1
Central Conn,37,0.51,0.146284376829,0.827586206897,0.28,UMBC,1
Binghamton,86,0.490384615385,0.110619469027,0.78125,0.326923076923,UMBC,1
Binghamton,117,0.5,0.16033547114,0.814814814815,0.407407407407,UMBC,1
Akron,17,0.466666666667,0.154400411734,0.648648648649,0.166666666667,USC,1
Arizona,108,0.530769230769,0.164041994751,0.666666666667,0.276923076923,USC,1
Arizona St,111,0.379310344828,0.136747886624,0.793103448276,0.344827586207,USC,1
Army,40,0.478571428571,0.119565217391,0.697674418605,0.257142857143,USC,1
California,94,0.5,0.170648464164,0.709677419355,0.147540983607,USC,1
Colorado,62,0.612068965517,0.130958617077,0.631578947368,0.258620689655,USC,1
Colorado,87,0.523076923077,0.193274062621,0.641025641026,0.461538461538,USC,1
Oregon,80,0.431034482759,0.173130193906,0.682926829268,0.431034482759,USC,1
Oregon,100,0.618644067797,0.182958703607,0.710526315789,0.118644067797,USC,1
Oregon St,82,0.450980392157,0.0782227784731,0.833333333333,0.254901960784,USC,1
Penn St,20,0.483050847458,0.191326530612,0.461538461538,0.101694915254,USC,1
Stanford,69,0.538461538462,0.166112956811,0.8,0.123076923077,USC,1
Stanford,97,0.416666666667,0.193181818182,0.815789473684,0.333333333333,USC,1
UCLA,72,0.620967741935,0.174129353234,0.875,0.0967741935484,USC,1
UCLA,121,0.565573770492,0.113579000505,0.681818181818,0.262295081967,USC,1
UCLA,129,0.698412698413,0.161691542289,0.71875,0.126984126984,USC,1
Utah,60,0.676470588235,0.155367231638,0.666666666667,0.196078431373,USC,1
Utah,90,0.5,0.153631284916,0.848484848485,0.240740740741,USC,1
Portland St,12,0.453125,0.0506329113924,0.6,0.28125,USC,1
Washington St,114,0.481132075472,0.198906016907,0.74358974359,0.358490566038,USC,1
Akron,20,0.46,0.195109261186,0.55,0.44,South Carolina,1
Alabama,113,0.571428571429,0.169376693767,0.575757575758,0.261904761905,South Carolina,1
Auburn,75,0.432692307692,0.163480885312,0.758620689655,0.5,South Carolina,1
Baylor,15,0.510638297872,0.158410138249,0.645161290323,0.446808510638,South Carolina,1
Florida,65,0.479591836735,0.214646464646,0.769230769231,0.510204081633,South Carolina,1
